model_name,method,gpu_model,tokens_per_sample,batch_size,number_gpus,number_nodes
llama3.1-70b,lora,NVIDIA-A100-SXM4-80GB,1024.0,32.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,8192.0,64.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,8192.0,64.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,8192.0,32.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,8192.0,32.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,8192.0,16.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,8192.0,16.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,4096.0,128.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,4096.0,128.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,4096.0,64.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,4096.0,64.0,16.0,2.0
granite-3.1-8b-instruct,full,NVIDIA-A100-SXM4-80GB,4096.0,32.0,16.0,2.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,8192.0,8.0,8.0,2.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,8192.0,8.0,8.0,1.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,8192.0,16.0,8.0,2.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,8192.0,16.0,8.0,1.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,512.0,8.0,8.0,2.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,512.0,8.0,8.0,1.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,512.0,64.0,8.0,2.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,512.0,64.0,8.0,1.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,512.0,32.0,8.0,2.0
llama3.1-8b,full,NVIDIA-A100-SXM4-80GB,512.0,32.0,8.0,1.0
